,date,close,bitcoin_scaled,__win,price_change
0,2015-01-01 00:00:00+00:00,314.2489929199219,53.0,2015-01-01_2015-06-30,
1,2015-01-02 00:00:00+00:00,315.0320129394531,58.0,2015-01-01_2015-06-30,0.0024917184690255545
2,2015-01-03 00:00:00+00:00,281.0820007324219,60.0,2015-01-01_2015-06-30,-0.10776686435849996
3,2015-01-04 00:00:00+00:00,264.19500732421875,74.0,2015-01-01_2015-06-30,-0.060078529981287654
4,2015-01-05 00:00:00+00:00,274.4739990234375,73.0,2015-01-01_2015-06-30,0.03890683553533025
5,2015-01-06 00:00:00+00:00,286.1889953613281,82.0,2015-01-01_2015-06-30,0.04268162514326275
6,2015-01-07 00:00:00+00:00,294.3370056152344,65.0,2015-01-01_2015-06-30,0.02847073222930523
7,2015-01-08 00:00:00+00:00,283.3489990234375,63.0,2015-01-01_2015-06-30,-0.037331379956214904
8,2015-01-09 00:00:00+00:00,290.4079895019531,60.0,2015-01-01_2015-06-30,0.024912706601556527
9,2015-01-10 00:00:00+00:00,274.7959899902344,61.0,2015-01-01_2015-06-30,-0.053758849880449835
10,2015-01-11 00:00:00+00:00,265.6600036621094,58.0,2015-01-01_2015-06-30,-0.03324643248414823
11,2015-01-12 00:00:00+00:00,267.7959899902344,54.0,2015-01-01_2015-06-30,0.00804030075540367
12,2015-01-13 00:00:00+00:00,225.86099243164062,70.0,2015-01-01_2015-06-30,-0.1565930750498653
13,2015-01-14 00:00:00+00:00,178.10299682617188,100.0,2015-01-01_2015-06-30,-0.21144862196566874
14,2015-01-15 00:00:00+00:00,209.843994140625,88.0,2015-01-01_2015-06-30,0.17821708719158874
15,2015-01-16 00:00:00+00:00,208.0970001220703,71.0,2015-01-01_2015-06-30,-0.00832520380537532
16,2015-01-17 00:00:00+00:00,199.25999450683594,67.0,2015-01-01_2015-06-30,-0.04246580013191233
17,2015-01-18 00:00:00+00:00,210.33900451660156,62.0,2015-01-01_2015-06-30,0.05560077444138212
18,2015-01-19 00:00:00+00:00,214.86099243164062,58.0,2015-01-01_2015-06-30,0.021498570488300246
19,2015-01-20 00:00:00+00:00,211.31500244140625,61.0,2015-01-01_2015-06-30,-0.016503647079460244
20,2015-01-21 00:00:00+00:00,226.89700317382812,65.0,2015-01-01_2015-06-30,0.07373826066486915
21,2015-01-22 00:00:00+00:00,233.406005859375,67.0,2015-01-01_2015-06-30,0.02868703682507548
22,2015-01-23 00:00:00+00:00,232.87899780273438,60.0,2015-01-01_2015-06-30,-0.00225790272491164
